,temp_air,ghi,dni,dhi,lwr_u,wind_speed,rh,sp,svp_kPa,delta_kPa_C,avp_kPa,svpdeficit_kPa,net_sw_rad_MJ_m2,out_lw_rad_MJ_m2,net_radiation_MJ_m2,ET_mm,PV_AC_kW
2022-01-01 18:00:00-03:00,26.23,392.0,571.25,72.15,338.4,2.62,36.4,96333.0,3.407414164325038,0.20106512787319603,1.2400090976520628,2.167405066672975,1.3406399999999998,0.3027405009603665,1.0378994990396333,0.3859229427144141,0.2627802109178718
2022-01-01 19:00:00-03:00,24.56,211.2,390.52,66.15,338.2,2.34,41.55,96286.0,3.0856968853866937,0.18441102812892687,1.2817447881402617,1.803952097246432,0.722304,0.2918612346026644,0.43044276539733556,0.20074536961002248,0.11216643162177876
2022-01-01 20:00:00-03:00,22.78,47.1,163.19,18.95,336.85,1.93,47.0,96352.0,2.7722702107574633,0.16795525606683526,1.3025277348978668,1.4697424758595965,0.16108199999999998,0.28293763268452254,-0.12185563268452257,0.032829301856139546,-0.00033
2022-01-01 21:00:00-03:00,20.9,0.0,0.0,0.0,330.9,1.79,52.8,96410.0,2.4717700446226427,0.15193839797273131,1.3045931459241045,1.1671768986985382,0.0,0.27562578210374733,-0.27562578210374733,-0.018264578393968344,-0.00033
2022-01-01 22:00:00-03:00,19.04,0.0,0.0,0.0,317.05,1.52,59.0,96495.0,2.2028828492337666,0.1373822408186527,1.2991761664677108,0.9037066827660558,0.0,0.26921720308687563,-0.26921720308687563,-0.029783514693814028,-0.00033
2022-01-01 23:00:00-03:00,17.69,0.0,0.0,0.0,310.45,1.24,64.3,96562.0,2.024100087750889,0.1275726684729733,1.3009909936964146,0.7231090940544744,0.0,0.2641154632840052,-0.2641154632840052,-0.038998408169617076,-0.00033
2022-01-02 00:00:00-03:00,16.54,0.0,0.0,0.0,304.45,1.03,69.35,96581.0,1.8819583452118556,0.11969109564821784,1.3046722650368743,0.5772860801749813,0.0,0.2596394955418184,-0.2596394955418184,-0.04499309217101956,-0.00033
2022-01-02 01:00:00-03:00,15.77,0.0,0.0,0.0,303.3,0.83,72.85,96581.0,1.7917457988260097,0.11464814142766994,1.3048558218933495,0.48688997693266023,0.0,0.2568753521685963,-0.2568753521685963,-0.049528327460247004,-0.00033
2022-01-02 02:00:00-03:00,15.03,0.0,0.0,0.0,302.7,0.83,76.8,96543.0,1.7086427632250742,0.10997284241156344,1.3118565621231295,0.39678620110194474,0.0,0.253650191744668,-0.253650191744668,-0.049816571900401424,-0.00033
2022-01-02 03:00:00-03:00,14.55,0.0,0.0,0.0,308.1,0.76,79.5,96505.0,1.656563186314863,0.10702766472740684,1.3166240186157805,0.3399391676990826,0.0,0.2515570542603604,-0.2515570542603604,-0.051148802692328736,-0.00033
2022-01-02 04:00:00-03:00,15.1,0.0,0.0,0.0,343.4,0.9,75.35,96495.0,1.7163564077019398,0.11040804722779461,1.292866812030623,0.4234895956713167,0.0,0.2555428166380093,-0.2555428166380093,-0.04842116079860941,-0.00033
2022-01-02 05:00:00-03:00,14.98,0.0,0.0,0.0,335.9,0.55,76.0,96495.0,1.7031516442646557,0.10966287502682306,1.2939962030223486,0.40915544124230707,0.0,0.25501968828489957,-0.25501968828489957,-0.054837122982995194,-0.00033
2022-01-02 06:00:00-03:00,14.9,0.0,0.0,0.0,342.05,0.48,76.6,96505.0,1.6943980378095331,0.10916847143933489,1.2975190760046713,0.3968789618048618,0.0,0.25443140291425814,-0.25443140291425814,-0.056074190051246434,-0.00033
2022-01-02 07:00:00-03:00,14.97,28.3,0.0,28.3,345.55,0.48,77.0,96553.0,1.7020552793138235,0.1096009707202958,1.3102033097401389,0.3918519695736846,0.096786,0.25358171121474754,-0.15679571121474756,-0.03221771435269777,-0.00033
2022-01-02 08:00:00-03:00,15.47,80.8,0.0,80.8,353.85,0.41,80.1,96581.0,1.757637918894643,0.11273280432176513,1.4075665233694505,0.3500713955251924,0.27633599999999997,0.24703889558113826,0.029297104418861714,0.0121524634740969,0.04155448150184217
2022-01-02 09:00:00-03:00,16.23,284.3,329.31,133.7,354.0,0.97,76.7,96648.0,1.8451714804405386,0.11763863446020667,1.4149119530155418,0.43025952742499673,0.9723059999999999,0.24902850448664202,0.7232774955133578,0.18853953309311888,0.19019118147679373
2022-01-02 10:00:00-03:00,17.1,300.85,276.07,125.0,352.1,0.83,73.55,96610.0,1.9500432630582893,0.12347583925448073,1.4339055865787231,0.5161376764795662,1.028907,0.2504166577769536,0.7784903422230465,0.20791570311266958,0.21422188975732775
2022-01-02 11:00:00-03:00,18.05,472.95,447.31,120.45,353.25,0.55,70.05,96657.0,2.0704869608058805,0.13012859163434512,1.4500148771902952,0.6204720836155853,1.6174889999999997,0.25232724893935166,1.365161751060648,0.36665032797842984,0.35315322649561404
2022-01-02 12:00:00-03:00,19.92,748.35,612.8,196.7,351.7,1.17,61.45,96619.0,2.326726614377485,0.1441145545994698,1.4293840377969707,0.8973425765805145,2.559357,0.26068566673206156,2.2986713332679383,0.6222425834529601,0.5541007431584728
2022-01-02 13:00:00-03:00,21.94,854.25,612.37,262.8,346.5,1.72,51.95,96600.0,2.6342775127315248,0.1606310332995404,1.3681045478991456,1.2661729648323792,2.9215349999999995,0.27357388964027224,2.647961110359727,0.7379932657986764,0.6155970258144609
2022-01-02 14:00:00-03:00,23.21,848.35,586.98,272.85,363.45,2.21,45.7,96553.0,2.8453206453360727,0.17181234736206005,1.2998903542984601,1.5454302910376125,2.901357,0.28484043698358047,2.6165165630164195,0.7494364597439372,0.6068841046080866
2022-01-02 15:00:00-03:00,23.84,714.05,452.69,287.15,355.75,2.28,42.4,96524.0,2.955381084740041,0.177598234397169,1.2526382789294304,1.7027428058106104,2.4420509999999997,0.2919319522270571,2.1501190477729426,0.6417343914211636,0.5165189939720515
